geo,Work,Money,Knowledge,Time,Power,Health
European Union - 27 countries (from 2020),69.3,73.9,57.4,65,40.5,86.2
Belgium,69.1,78.6,56.3,76.3,49.9,86.3
Bulgaria,78.6,83.8,47.3,65.2,25.6,74.7
Czechia,63.6,75.6,52.9,57.6,20.3,82.6
Denmark,70,82.3,55.3,81.1,57.3,87.5
Germany,63.9,68.1,59,61.2,47.5,87.8
Estonia,76.5,82.9,50.7,74.4,21.9,86.8
Ireland,72.2,71.3,64.2,66.3,54.1,93.8
Greece,67.9,76.7,58.7,56,26.2,83.8
Spain,69.4,73.3,55.7,74.1,66.6,86.2
France,72.8,78.1,62.6,67.6,72.5,88
Croatia,68.2,80.8,51.9,69.6,21.8,83.1
Italy,61,67,56.8,59.4,47.9,86.9
Cyprus,65.3,69.7,44.6,54.7,13.6,84.4
Latvia,77.6,76.5,43.5,57.2,28.9,78.1
Lithuania,73.9,81.9,47.4,63.3,34.6,79.8
Luxembourg,69.1,73.7,61.9,68.9,37.3,87.6
Hungary,74.8,78.8,49.9,64.6,12.9,86.1
Malta,72.3,71.8,58.2,60.6,28.1,87.5
Netherlands,64.5,66.2,62.1,74.8,63.2,89.1
Austria,67.8,65.3,54.2,63.3,39.9,88.7
Poland,74.8,81.1,50.9,68.7,21.6,85.4
Portugal,74.9,79.9,55.5,67,36.8,80.6
Romania,72.3,79.8,64.1,61.5,26.6,60.9
Slovenia,73.3,86.2,45,63.4,24.6,86.6
Slovakia,70.4,83.6,51,64.5,22.9,82.8
Finland,76.6,81.1,49.8,59.1,61,87.3
Sweden,80.4,81,54.6,58.7,80.3,91.2
